kinase,log2FC_iCCA_HCC,rna_p,hcc_tpm,icca_tpm,rna_fdr,chronos_HCC,chronos_iCCA,chronos_other,icca_selective,hcc_selective,dep_p_icca_vs_other,dep_p_hcc_vs_other,dep_diff_iCCA_minus_HCC,dep_p_icca_vs_hcc,iCCA_essential,HCC_essential,iCCA_selective_dep,HCC_selective_dep,rna_iCCA_up,rna_HCC_up,chcca_position,icca_over_hcc_dep,hcc_over_icca_dep,rna_concordant_iCCA,rna_concordant_HCC
IRAK3,0.6221688579726453,1.0370471601751073e-08,0.7192328818506576,1.341401739823303,2.2079068571470025e-08,-0.008854342337915823,-0.04319694248849795,-0.006730301309089609,-0.03646664117940834,-0.002124041028826214,0.06770562318008475,0.6946836509797458,-0.03434260015058213,0.2386455011944486,False,False,False,False,False,False,,False,False,True,False
IRAK4,1.0061562642270587,2.0284264370939158e-14,2.6493593383195866,3.6555156025466453,1.162119312918389e-13,0.007103108894954245,-0.00970925872609271,-0.024769893056722656,0.015060634330629945,0.0318730019516769,0.356348050298977,0.26296071292454104,-0.016812367621046955,0.9322314445142659,False,False,False,False,True,False,-0.5,False,False,True,False
IRF7,0.8855555188471547,8.331956051828065e-07,4.914071586917585,5.799627105764739,1.497573800165175e-06,0.009514575267126525,0.05327317552349987,0.031200470954286824,0.022072704569213043,-0.021685895687160298,0.3202638499241759,0.4245521470676741,0.04375860025637334,0.21983309051189281,False,False,False,False,False,False,,False,False,True,False
IRS1,-0.7742176243981422,5.07942109746883e-05,4.127927226407297,3.353709602009155,7.612211453972361e-05,-0.14908841445412807,-0.1492320067981635,-0.12221431256124793,-0.02701769423691558,-0.026874101892880142,0.07594172809910901,0.18048038013732448,-0.00014359234403543697,0.7613519194381367,False,False,False,False,False,False,,False,False,False,True
ISG15,-0.1477026105796524,0.7153654215101143,7.1577246265821515,7.010022016002499,0.7404974563937821,-0.0634229062450363,-0.09283044976140237,-0.0794228254495801,-0.01340762431182227,0.0159999192045438,0.30939951549764044,0.7975651520602738,-0.02940754351636607,0.30179100981005713,False,False,False,False,False,False,,False,False,False,False
ISL1,0.24707233713594023,1.202774871883025e-09,0.04873709095340772,0.29580942808934796,2.931430633097476e-09,-0.02245269110288697,-0.036953839223712585,-0.07746778037753349,0.040513941153820905,0.05501508927464652,0.4152616614676852,0.21586370044137781,-0.014501148120825615,0.5846049720999955,False,False,False,False,False,False,,False,False,False,False
ISM1,0.3923100892874414,0.06468796216208293,1.9116526462166854,2.303962735504127,0.07569867912584173,-0.017347370143930316,-0.0009999025764971159,0.010979299414321573,-0.01197920199081869,-0.028326669558251888,0.8086935088818691,0.32152155081766143,0.016347467567433202,0.4735308011235977,False,False,False,False,False,False,,False,False,False,False
ITGAL,-0.5013963344179033,0.0013644176653223774,2.9090533273571224,2.407656992939219,0.0018258630557842033,-0.028726451852210448,0.012405346199717428,-0.0019207084222770275,0.014326054621994455,-0.026805743429933422,0.5455288028736338,0.11150037172689906,0.041131798051927876,0.04248317022751403,False,False,False,False,False,False,,False,False,False,True
ITGB3,0.4013859828215953,0.00582361311634686,1.318949938718208,1.7203359215398033,0.007397199108523726,-0.17065607108327208,-0.019295751171223195,-0.04011585473564585,0.020820103564422654,-0.13054021634762622,0.5285215491119358,0.0007843422134313783,0.15136031991204887,0.0062692985070637655,False,False,False,False,False,False,,False,False,False,False
ITGB5,1.4350081397592076,2.7123874385110905e-15,5.945231927463403,7.38024006722261,2.1011511737723284e-14,-0.49903708848991685,-0.2849981250346945,-0.312814920012969,0.027816794978274495,-0.18622216847694784,0.5438159341186088,0.0039569220596021625,0.21403896345522233,0.016702000120836363,False,True,False,False,True,False,-0.5,False,True,True,False
ITK,0.39410103131644003,0.033363264405717685,0.7024269210794,1.09652795239584,0.03983313044097987,0.011198901339901616,0.021610704288176377,0.02385997806244661,-0.0022492737742702343,-0.012661076722544995,0.9586050796130222,0.33856523825930185,0.01041180294827476,0.4297406770499599,False,False,False,False,False,False,,False,False,False,False
ITLN1,-0.03992837008273986,0.07936852029272928,0.5405225576983133,0.5005941876155734,0.09190039191789706,0.09690234702105774,0.04333830338764424,0.07643877546034042,-0.03310047207269618,0.02046357156071732,0.1465839697020304,0.717250114173422,-0.0535640436334135,0.19364844434240625,False,False,False,False,False,False,,False,False,False,False
IVNS1ABP,1.8801785513627083,2.3675448621080784e-16,4.536304006250553,6.416482557613262,2.712811821165506e-15,-0.011969585669938767,0.0018287585336431704,-0.002944712072372443,0.004773470606015614,-0.009024873597566324,0.8620493528942489,0.527275387697577,0.013798344203581938,0.41568392810112,False,False,False,False,True,False,-0.5,False,False,True,False
JADE1,1.155840621403382,6.6766788615024034e-15,2.7990760689209546,3.9549166903243367,4.496538825093455e-14,0.059467040353074416,0.05788161801577034,0.01831227701742366,0.03956934099834668,0.041154763335650754,0.13714122750249558,0.09219757716602141,-0.0015854223373040766,0.8554072733065734,False,False,False,False,True,False,-0.5,False,False,True,False
JAK1,1.2987118800783444,2.0284264370939158e-14,4.568456821859639,5.867168701937984,1.162119312918389e-13,-0.04751782692705756,-0.0025063885092035647,-0.06053441905519214,0.058028030545988575,0.01301659212813458,0.01325323312975747,0.9718227196370428,0.045011438417853995,0.12287293614887453,False,False,False,False,True,False,-0.5,False,False,True,False
JAK2,0.8395228891201636,1.3882749903774882e-08,1.7174639273808425,2.556986816501006,2.932975331783426e-08,0.1312104626208072,0.09516966174106467,0.09423661053731427,0.0009330512037503957,0.036973852083492936,0.7665295395447649,0.17038478522338085,-0.03604080087974254,0.1552168135349903,False,False,False,False,False,False,,False,False,True,False
JAK3,1.5348442763413894,9.59123206943687e-12,1.744360847899801,3.2792051242411904,3.1906316360021846e-11,-0.0909134308464026,-0.11888661755169197,-0.1041021495133262,-0.014784468038365764,0.013188718666923602,0.4358579085648351,0.7212007016679631,-0.027973186705289366,0.3751750676264969,False,False,False,False,True,False,0.08671432956296621,False,False,True,False
JUN,0.7281319757151898,0.00014452284660837003,6.400685582786154,7.128817558501344,0.00020664011863415126,-0.34822008586642617,-0.3382101570986065,-0.29852037422541927,-0.03968978287318725,-0.049699711641006894,0.35466948657095765,0.7216950511373759,0.010009928767819642,0.7064743169441505,False,False,False,False,False,False,,False,False,True,False
KANK2,0.9104123130301742,2.7875828733993296e-08,4.676311430829832,5.586723743860007,5.7565854081463e-08,0.15173461010255124,0.14287087314143807,0.12718069962735548,0.015690173514082584,0.024553910475195756,0.4566411031196751,0.22455919309006966,-0.008863736961113172,0.5680218778464302,False,False,False,False,False,False,,False,False,True,False
KAT2A,1.305556570575094,1.3763015913035844e-14,5.16038006291996,6.465936633495054,8.379696035612229e-14,-0.32986656138868037,-0.30143843230102535,-0.3071931540112897,0.0057547217102643655,-0.022673407377390653,0.8915293825981628,0.6258472470649049,0.02842812908765502,0.6530819591087469,False,False,False,False,True,False,-0.5,False,False,True,False
KAT2B,-0.5494381772247019,0.0008088563476943239,3.92375598456185,3.3743178073371483,0.0010984468919305634,0.02437471171359907,-0.035100272147085505,-0.010923070318276933,-0.024177201828808573,0.035297782031876,0.3084797532188722,0.12453198531434813,-0.059474983860684574,0.03153638005609862,False,False,False,False,False,False,,False,False,False,True
KCNA3,0.24820195917172178,0.0017400985830215742,0.3169467626901776,0.5651487218618994,0.002308008570727972,-0.06152307496195909,-0.1288811709049262,-0.07441545184988334,-0.05446571905504287,0.012892376887924245,0.07498803883986184,0.7197183527599195,-0.06735809594296711,0.1351146498957633,False,False,False,False,False,False,,False,False,False,False
KCNE2,0.007932973878795206,0.5436686094014345,0.03148110896239835,0.039414082841193555,0.5754029541452,0.09417498491484684,0.02525844664233076,0.08961739945700854,-0.06435895281467778,0.004557585457838298,0.009623234134592257,0.9665587803599118,-0.06891653827251608,0.07028221879463896,False,False,False,False,False,False,,False,False,False,False
KCNG1,1.0429545786757233,1.1721456718233249e-14,0.2844600890478882,1.3274146677236116,7.24359684834639e-14,0.00605581724672688,-0.028739703006391167,-0.04459211895337438,0.015852415946983212,0.05064793620010126,0.33848457140880983,0.14755681084518504,-0.03479552025311805,0.8174573411187145,False,False,False,False,True,False,0.5750532772266301,False,False,True,False
KCNH1,0.046930566601574346,9.530188608781236e-09,0.049139452018117265,0.09607001861969161,2.0421832733102647e-08,0.08082225184960701,0.04368173551575558,0.08337386229498477,-0.03969212677922918,-0.0025516104453777583,0.4057288853894896,0.725158742431167,-0.037140516333851424,0.8174573411187145,False,False,False,False,False,False,,False,False,False,False
KCNIP3,0.6234883727175414,1.2955842523827848e-05,0.9322622644765249,1.5557506371940664,2.067421679334231e-05,-0.14318720146447012,-0.05923303357479954,-0.08642096428196072,0.027187930707161183,-0.056766237182509394,0.6981416399062825,0.05293320077919862,0.08395416788967058,0.07028221879463896,False,False,False,False,False,False,,False,False,True,False
KDR,0.04662173851978135,0.8624244934700314,3.3230171415647947,3.369638880084576,0.876231782158591,-0.15255040437818643,-0.13733985287951958,-0.12468020593734311,-0.012659646942176472,-0.02787019844084332,0.7337683019774704,0.1333468032940418,0.015210551498666847,0.2689474626484927,False,False,False,False,False,False,,False,False,False,False
